Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
DMRTB1		ENSG00000143006	DMRT-like family B with proline-rich C-terminal, 1	1	53925072-53933161	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA036490, HPA058553	Supportive			Tissue enriched	178	testis: 41.8	thyroid gland: 0.2
VCX	VCX-10r, VCX-B1, VCX1, VCX10R	ENSG00000182583	Variable charge, X-linked	X	7810303-7812184		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA044996, HPA049357	Supportive			Tissue enriched	177	testis: 17.7	heart muscle: 0.1
C4orf17	DKFZP434G072	ENSG00000138813	Chromosome 4 open reading frame 17	4	100432161-100463460	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA060374, HPA060564	Uncertain			Tissue enriched	176	testis: 17.6	adipose tissue: 0.0
CFHR3	CFHL3, DOWN16, FHR-3, FHR3, HLF4	ENSG00000116785	Complement factor H-related 3	1	196743925-196763203	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	175	liver: 158.4	adipose tissue: 0.9
PASD1	CT63	ENSG00000166049	PAS domain containing 1	X	150732094-150845211	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA011122, HPA011152	Supportive	Supportive	Nucleus but not nucleoli	Tissue enriched	172	testis: 17.2	adipose tissue: 0.0
SYCP1	CT8, HOM-TES-14, SCP1	ENSG00000198765	Synaptonemal complex protein 1	1	115397424-115537991	Plasma proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021083	Supportive			Tissue enriched	172	testis: 43.3	adipose tissue: 0.3
FSCN3		ENSG00000106328	Fascin homolog 3, actin-bundling protein, testicular (Strongylocentrotus purpuratus)	7	127231463-127242198	Cytoskeleton related proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	170	testis: 61.8	bone marrow: 0.4
SAA4	C-SAA, CSAA	ENSG00000148965	Serum amyloid A4, constitutive	11	18252896-18258440	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB026061, HPA060139	Supportive			Tissue enriched	170	liver: 519.1	adipose tissue: 3.1
AQP2		ENSG00000167580	Aquaporin 2 (collecting duct)	12	50344524-50352664	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA046834	Supportive			Tissue enriched	169	kidney: 297.9	testis: 1.8
C5orf47	LOC133491	ENSG00000185056	Chromosome 5 open reading frame 47	5	173400782-173433143		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA048716	Uncertain			Tissue enriched	166	testis: 21.7	cerebral cortex: 0.1
LCE1C	LEP3	ENSG00000197084	Late cornified envelope 1C	1	152777311-152779107		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	166	skin: 222.8	skeletal muscle: 1.3
AC008394.1		ENSG00000233828	Uncharacterized protein 	5	86512423-86534822		Evidence at transcript level	Evidence at transcript level			HPA047935, HPA052955	Uncertain			Tissue enriched	164	placenta: 16.4	liver: 0.1
DDI1	FLJ36017	ENSG00000170967	DNA-damage inducible 1 homolog 1 (S. cerevisiae)	11	103907308-103909922	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA055837	Uncertain			Tissue enriched	164	testis: 16.4	adipose tissue: 0.0
FAM71C	MGC39520	ENSG00000180219	Family with sequence similarity 71, member C	12	100041531-100043824		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA042569	Uncertain			Tissue enriched	163	testis: 16.3	adipose tissue: 0.0
CPA2		ENSG00000158516	Carboxypeptidase A2 (pancreatic)	7	129906667-129929638	Enzymes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA020342, HPA021317	Supportive	Uncertain	Golgi apparatus	Tissue enriched	162	pancreas: 9146.7	stomach: 56.4
TSHR	LGR3	ENSG00000165409	Thyroid stimulating hormone receptor	14	81421333-81612646	Cancer-related genes, Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB000473, HPA026680	Supportive			Tissue enriched	162	thyroid gland: 332.8	lymph node: 2.1
AC025278.1		ENSG00000204752	Uncharacterized protein 	19	7011514-7013338		Evidence at transcript level	Evidence at transcript level			HPA065669	Uncertain			Tissue enriched	160	testis: 16.0	adipose tissue: 0.0
C20orf173	dJ477O4.4	ENSG00000125975	Chromosome 20 open reading frame 173	20	34111014-34117481		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	160	testis: 16.0	adipose tissue: 0.0
LCE2B	LEP10, SPRL1B, XP5	ENSG00000159455	Late cornified envelope 2B	1	152647771-152659877		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	159	skin: 348.3	skeletal muscle: 2.2
ZPBP2	MGC41930, ZPBPL	ENSG00000186075	Zona pellucida binding protein 2	17	38024417-38034149	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA027997, HPA053070	Supportive			Tissue enriched	159	testis: 103.0	tonsil: 0.6
C1orf65	FLJ35728	ENSG00000178395	Chromosome 1 open reading frame 65	1	223566715-223568812	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA027518	Uncertain			Tissue enriched	158	testis: 15.8	cerebral cortex: 0.1
TRIM42	FLJ40097, PPP1R40	ENSG00000155890	Tripartite motif containing 42	3	140396881-140419992	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA003581, HPA022481	Uncertain	Uncertain	Nucleus but not nucleoli, Mitochondria	Tissue enriched	158	testis: 15.8	adipose tissue: 0.0
KRT1	EHK1, KRT1A	ENSG00000167768	Keratin 1	12	53068520-53074191	Cytoskeleton related proteins, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002153, HPA017917	Supportive			Tissue enriched	157	skin: 5350.5	esophagus: 34.1
SPANXD	CT11.4	ENSG00000196406	SPANX family, member D	X	140785568-140786896		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA046423	Uncertain			Tissue enriched	157	testis: 15.7	adipose tissue: 0.0
RP11-147C23.1		ENSG00000237435	Uncharacterized protein 	1	96403457-96488436		Evidence at transcript level	Evidence at transcript level							Tissue enriched	156	testis: 15.6	adipose tissue: 0.1
SPACA1	SAMP32	ENSG00000118434	Sperm acrosome associated 1	6	88757507-88776550	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA026744, HPA043297	Supportive			Tissue enriched	156	testis: 26.2	kidney: 0.2
TMEM202	FLJ27523	ENSG00000187806	Transmembrane protein 202	15	72690614-72700370	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA049035	Uncertain			Tissue enriched	156	testis: 15.6	adipose tissue: 0.0
HBD		ENSG00000223609	Hemoglobin, delta	11	5253908-5256600	Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB037087, HPA043234	Supportive			Tissue enriched	155	bone marrow: 747.0	placenta: 4.8
TPTE	CT44, PTEN2	ENSG00000166157	Transmembrane phosphatase with tensin homology	21	10906201-11029719	Enzymes, Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA049690	Supportive			Tissue enriched	154	testis: 102.2	placenta: 0.7
PLCZ1	NYD-SP27, PLCzeta	ENSG00000139151	Phospholipase C, zeta 1	12	18836103-18890991	Enzymes	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	153	testis: 48.4	heart muscle: 0.3
RP11-408E5.4		ENSG00000121388		13	19756173-19761496		Evidence at transcript level	Evidence at transcript level	No evidence						Tissue enriched	152	testis: 15.2	adipose tissue: 0.1
SYCP3		ENSG00000139351	Synaptonemal complex protein 3	12	102122426-102133250	Disease related genes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB032978, HPA039635, HPA043938	Supportive			Tissue enriched	152	testis: 83.3	salivary gland: 0.5
UBE2U	MGC35130	ENSG00000177414	Ubiquitin-conjugating enzyme E2U (putative)	1	64669310-64733051	Enzymes	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA020472, HPA021660	Supportive			Tissue enriched	152	testis: 33.8	placenta: 0.2
CLPS		ENSG00000137392	Colipase, pancreatic	6	35762759-35765088	Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA010512	Uncertain			Tissue enriched	150	pancreas: 20480.6	ovary: 136.3
RP11-113D6.10		ENSG00000189332	Putative mitochondrial carrier protein LOC494141 	11	18230685-18236109		Evidence at transcript level	Evidence at transcript level			HPA053827	Uncertain			Tissue enriched	150	testis: 15.0	lymph node: 0.1
SPPL2C	IMP5	ENSG00000185294	Signal peptide peptidase like 2C	17	43922256-43924438	Enzymes, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	150	testis: 17.0	cerebral cortex: 0.1
SSMEM1	C7orf45, FLJ40316	ENSG00000165120	Serine-rich single-pass membrane protein 1	7	129847700-129856683	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA026877	Uncertain			Tissue enriched	150	testis: 24.2	lung: 0.2
ASZ1	ALP1, ANKL1, C7orf7, CT1.19, GASZ, Orf3	ENSG00000154438	Ankyrin repeat, SAM and basic leucine zipper domain containing 1	7	117003276-117068177	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA020558	Uncertain	Uncertain	Cytoplasm, Nucleus but not nucleoli	Tissue enriched	149	testis: 14.9	pancreas: 0.1
CDSN	D6S586E	ENSG00000204539	Corneodesmosin	6	31082867-31088223	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level		Evidence at protein level	HPA044730, HPA054184	Supportive			Tissue enriched	149	skin: 233.1	tonsil: 1.6
FGA		ENSG00000171560	Fibrinogen alpha chain	4	155504278-155511918	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB016776, HPA051370	Supportive			Tissue enriched	149	liver: 4181.2	stomach: 28.1
MMP8	CLG1	ENSG00000118113	Matrix metallopeptidase 8 (neutrophil collagenase)	11	102582526-102597781	Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA021221, HPA022935	Supportive			Tissue enriched	147	bone marrow: 334.6	endometrium: 2.3
ORM2	AGP-B, AGP-B', AGP2	ENSG00000228278	Orosomucoid 2	9	117092149-117095532	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA046438	Uncertain			Tissue enriched	147	liver: 3280.2	bone marrow: 22.3
SMC1B	bK268H5, SMC1L2	ENSG00000077935	Structural maintenance of chromosomes 1B	22	45739944-45809500	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA001500	Supportive	Supportive	Nucleus but not nucleoli, Cytoplasm	Tissue enriched	147	testis: 29.9	tonsil: 0.2
TYR	OCA1, OCA1A, OCAIA	ENSG00000077498	Tyrosinase	11	88910620-89028927	Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000079	Supportive			Tissue enriched	147	skin: 29.4	lung: 0.2
ERVV-2		ENSG00000268964	Endogenous retrovirus group V, member 2	19	53547991-53554329	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	146	placenta: 14.6	urinary bladder: 0.1
PRSS58	TRYX3	ENSG00000258223	Protease, serine, 58	7	141951963-141957878	Enzymes, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	146	testis: 17.5	smooth muscle: 0.1
MAGEB1	CT3.1, DAM10, MAGE-Xp, MAGEL1, MGC9322	ENSG00000214107	Melanoma antigen family B, 1	X	30261847-30270155	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001193, HPA002820	Supportive			Tissue enriched	145	testis: 17.1	lung: 0.1
SERPINI2	MEPI, PANCPIN, PI14, TSA2004	ENSG00000114204	Serpin peptidase inhibitor, clade I (pancpin), member 2	3	167159577-167196792	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	144	pancreas: 615.0	fallopian tube: 4.3
FAM170A		ENSG00000164334	Family with sequence similarity 170, member A	5	118965254-118971517	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA037900, HPA037901, HPA037902	Uncertain			Tissue enriched	143	testis: 14.3	lymph node: 0.1
GBP7	FLJ38822, GBP4L	ENSG00000213512	Guanylate binding protein 7	1	89597434-89641723	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA051245	Uncertain			Tissue enriched	142	liver: 46.9	adrenal gland: 0.3
TMEM225	PMP22CD	ENSG00000204300	Transmembrane protein 225	11	123753633-123756349	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA015052	Uncertain			Tissue enriched	142	testis: 14.2	adipose tissue: 0.0
